ActivateAudioSlowmoMode	Below is a list of modes and their respective hashes.\n\n| Mode (string)               | Hash               |\n|-----------------------------|--------------------|\n| SLOWMO_BIG_SCORE_JUMP       | 0x2B981B0C         |\n| JSH_EXIT_TUNNEL_SLOWMO      | 0x2562AA6          |\n| SLOW_MO_METH_HOUSE_RAYFIRE  | 0xDB9E1909         |\n| SLOWMO_FIB4\\_TRUCK_SMASH     | 0x9E144347         |\n| SLOWMO_PROLOGUE_VAULT       | 0xEA2E68E1         |\n| SLOWMO_T1\\_RAYFIRE_EXPLOSION | 0xD6D358F3         |\n| SLOWMO_T1\\_TRAILER_SMASH     | 0xBE607345         |\n| BARRY\\_01\\_SLOWMO             | 0xD59540D4         |\n| BARRY\\_02\\_SLOWMO             | 0x12F140B3         |\n| SLOWMO_EXTREME\\_04           | 0xF562EA50         |\n| NIGEL\\_02\\_SLOWMO_SETTING     | 0x384689B0         |\n\n**Parameters**\n- `mode`: A string indicating the audio slow motion mode to use, *see the table*.
AddStateBagChangeHandler	Adds a handler for changes to a state bag.\n\nThe function called expects to match the following signature:\n\n```ts\nfunction StateBagChangeHandler(bagName: string, key: string, value: any, reserved: number, replicated: boolean);\n```\n\n*   **bagName**: The internal bag ID for the state bag which changed. This is usually `player:Source`, `entity:NetID`\n    or `localEntity:Handle`.\n*   **key**: The changed key.\n*   **value**: The new value stored at key. The old value is still stored in the state bag at the time this callback executes.\n*   **reserved**: Currently unused.\n*   **replicated**: Whether the set is meant to be replicated.\n\nAt this time, the change handler can't opt to reject changes.\n\nIf bagName refers to an entity, use [GET_ENTITY_FROM_STATE_BAG_NAME](#\\_0x4BDF1867) to get the entity handle\nIf bagName refers to a player, use [GET_PLAYER_FROM_STATE_BAG_NAME](#\\_0xA56135E0) to get the player handle\n\n**Parameters**\n- `keyFilter`: The key to check for, or null for no filter.\n- `bagFilter`: The bag ID to check for such as `entity:65535`, or null for no filter.\n- `handler`: The handler function.\n\n**Returns** A cookie to remove the change handler.\n\n```lua\nAddStateBagChangeHandler("blockTasks", nil, function(bagName, key, value) \n    local entity = GetEntityFromStateBagName(bagName)\n    -- Whoops, we don't have a valid entity!\n    if entity == 0 then return end\n    -- We don't want to freeze the entity position if the entity collision hasn't loaded yet\n    while not HasCollisionLoadedAroundEntity(entity) do\n        -- The entity went out of our scope before the collision loaded\n        if not DoesEntityExist(entity) then return end\n        Wait(250)\n    end\n    SetEntityInvincible(entity, value)\n    FreezeEntityPosition(entity, value)\n    TaskSetBlockingOfNonTemporaryEvents(entity, value)\nend)\n```
AddStuntJump	See description of [`ADD_STUNT_JUMP_ANGLED`](#\\_0xBBE5D803A5360CBF) for detailed info. The only difference really is this one does not have the radius (or angle, not sure) floats parameters for entry and landing zones.\n\n**Parameters**\n- `x1`: Jump entry left far bottom corner coordinate X.\n- `y1`: Jump entry left far bottom corner coordinate Y.\n- `z1`: Jump entry left far bottom corner coordinate Z.\n- `x2`: Jump entry right near top corner coordinate X.\n- `y2`: Jump entry right near top corner coordinate Y.\n- `z2`: Jump entry right near top corner coordinate Z.\n- `x3`: Landing zone end coordinate X.\n- `y3`: Landing zone end coordinate Y.\n- `z3`: Landing zone end coordinate Z.\n- `x4`: Landing zone start coordinate X.\n- `y4`: Landing zone start coordinate Y.\n- `z4`: Landing zone start coordinate Z.\n- `camX`: Stuntcam (cinematic) coordinate x.\n- `camY`: Stuntcam (cinematic) coordinate y.\n- `camZ`: Stuntcam (cinematic) coordinate z.\n- `unk1`: Unknown, always 150.\n- `unk2`: Unknown, always 0.\n- `unk3`: Unknown, always 0.\n\n**Returns** The ID of the stunt jump that was added.
AddStuntJumpAngled	Creates a new stunt jump.\n\nThe radius1 and radius2 might actually not be a radius at all, but that's what it seems to me testing them in-game. But they may be 'angle' floats instead, considering this native is named ADD_STUNT_JUMP\\_**ANGLED**.\n\nInfo about the specific 'parameter sections':\n\n**x1, y1, z1, x2, y2, z2 and radius1:**\n\nFirst coordinates are for the jump entry area, and the radius that will be checked around that area. So if you're not exactly within the coordinates, but you are within the outter radius limit then it will still register as entering the stunt jump. Note as mentioned above, the radius is just a guess, I'm not really sure about it's exact purpose.\n\n**x3, y3, z3, x4, y4, z4 and radius2:**\n\nNext part is the landing area, again starting with the left bottom (nearest to the stunt jump entry zone) coordinate, and the second one being the top right furthest away part of the landing area. Followed by another (most likely) radius float, this is usually slightly larger than the entry zone 'radius' float value, just because you have quite a lot of places where you can land (I'm guessing).\n\n**camX, camY and camZ:**\n\nThe final coordinate in this native is the Camera position. Rotation and zoom/FOV is managed by the game itself, you just need to provide the camera location.\n\n**unk1, unk2 and unk3:**\n\nNot sure what these are for, but they're always `150, 0, 0` in decompiled scripts.\n\nVisualized example in-game:\n\n![](https://d.fivem.dev/2019-03-15\\_18-24\\_c7802\\_846.png)\n\nHere is a list of almost all of the stunt jumps from GTA V (taken from decompiled scripts): https://pastebin.com/EW1jBPkY\n\n**Parameters**\n- `x1`: Entry zone bottom left corner x.\n- `y1`: Entry zone bottom left corner y.\n- `z1`: Entry zone bottom left corner z.\n- `x2`: Entry zone top right corner x.\n- `y2`: Entry zone top right corner y.\n- `z2`: Entry zone top right corner z.\n- `radius1`: Probably a "feather" radius for entry zone, you need to enter the jump within the min/max coordinates, or within this radius of those two coordinates.\n- `x3`: Landing zone start corner coordinate x.\n- `y3`: Landing zone start corner coordinate y.\n- `z3`: Landing zone start corner coordinate z.\n- `x4`: Landing zone end corner coordinate x.\n- `y4`: Landing zone end corner coordinate y.\n- `z4`: Landing zone end corner coordinate z.\n- `radius2`: Probably a "feather" radius for landing zone, you need to land within the min/max coordinates, or within this radius of those two coordinates.\n- `camX`: Stunt (cinematic) camera x position.\n- `camY`: Stunt (cinematic) camera y position.\n- `camZ`: Stunt (cinematic) camera z position.\n- `unk1`: always 150\n- `unk2`: always 0\n- `unk3`: always 0\n\n**Returns** The ID of the stuntjump that was created.\n\n```lua\nlocal data = {\n    entry = {\n        leftbottom = vector3(-963.1714, -2778.506, 14.47828),\n        righttop = vector3(-965.7361, -2777.121, 19.46395),\n        radius = 8.0\n    },\n    landing = {\n        start = vector3(-988.8297, -2830.789, 11.96478),\n        ending = vector3(-1027.989, -2895.436, 16.95805),\n        radius = 18.0\n    },\n    camcoords = vector3(-967.196, -2811.716, 14.5521),\n    unk1 = 150,\n    unk2 = 0,\n    unk3 = 0\n\n}\n\nlocal stuntjump = AddStuntJumpAngled(\n    data.entry.leftbottom, \n    data.entry.righttop,\n    data.entry.radius,\n    data.landing.start,\n    data.landing.ending,\n    data.landing.radius,\n    data.camcoords,\n    data.unk1,\n    data.unk2,\n    data.unk3\n)\n\nprint("New stunt jump added, id: " .. stuntjump)\n\nCitizen.CreateThread(function()\n    while true do\n        Wait(0)\n        DrawLine(data.entry.leftbottom, data.entry.righttop, 255, 255, 255, 255)\n        DrawLine(data.landing.start, data.landing.ending, 255, 0, 0, 255)\n        DrawMarker(28, data.camcoords.x, data.camcoords.y, data.camcoords.z, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 255, 255, 255, 150, false, false, 2, false, nil, nil, false)\n    end\nend)\n```
AddTacticalAnalysisPoint	```\nAdds a point related to CTacticalAnalysis\n```
AddTextComponentFloat	Adds a float to a text component placeholder, replacing `~1~` in the current text command's text label.\n\n![Example output](https://i.imgur.com/jvuQ0II.png)\n\n**Parameters**\n- `value`: The number to substitute in the label.\n- `decimalPlaces`: How many decimal places to add\n\n```lua\n-- on initialization\nAddTextEntry('TEST_LABEL', 'Label: ~1~')\n\n-- when drawing\nBeginTextCommandThefeedPost('TEST_LABEL')\nAddTextComponentFloat(1000.0, 2)\nEndTextCommandThefeedPostTicker(false, true)\n```
AddTextComponentFormattedInteger	\n\n**Parameters**\n- `value`: The integer to add to the string\n- `commaSeparated`: Whether or not to add comma seperators. So if true 1000 would become 1,000.\n\n```lua\n-- on initialization\nAddTextEntry('TEST_LABEL', '€~a~')\n\n-- when drawing\nBeginTextCommandThefeedPost('TEST_LABEL')\nAddTextComponentFormattedInteger(1000, true)\nEndTextCommandThefeedPostTicker(false, true)\n```
AddTextComponentSubstringKeyboardDisplay	Certain characters like `<` will have to be escaped using html entities (e.g. `&lt;`), otherwise the text wont display properly.
AddTextComponentSubstringPhoneNumber	```\np1 was always -1\n```
AddTextComponentSubstringPlayerName	Adds an arbitrary string as a text component placeholder, replacing `~a~` in the current text command's text label.\n\nSee the documentation on text formatting for more information.\n\n**Parameters**\n- `text`: A string to add of up to 99 characters. This can contain additional `~` formatting directives.\n\n```lua\n-- on initialization\nAddTextEntry('TEST_LABEL', 'Label: ~a~')\n\n-- when drawing\nBeginTextCommandDisplayText('TEST_LABEL')\nAddTextComponentSubstringPlayerName('Hello, World!')\nEndTextCommandDisplayText(0.5, 0.5)\n```
AddTextComponentSubstringTextLabelHashKey	```\nIt adds the localized text of the specified GXT entry name. Eg. if the argument is GET_HASH_KEY("ES_HELP"), adds "Continue". Just uses a text labels hash key  \n```
AddTextComponentSubstringTime	```\nAdds a timer (e.g. "00:00:00:000"). The appearance of the timer depends on the flags, which needs more research.  \n```
AddTextComponentSubstringWebsite	```\nThis native (along with 0x5F68520888E69014 and 0x6C188BE134E074AA) do not actually filter anything. They simply add the provided text (as of 944)  \n```
AddVehicleCrewEmblem	```\nboneIndex is always chassis_dummy in the scripts. The x/y/z params are location relative to the chassis bone.\n```
AddVehicleSubtaskAttackCoord	```\nx, y, z: offset in world coords from some entity.  \n```
AllowAmbientVehiclesToAvoidAdverseConditions	This native it's a debug native. Won't do anything.
AllowPauseMenuWhenDeadThisFrame	Allows opening the pause menu this frame, when the player is dead.\n\n```lua\nCitizen.CreateThread(function()\n while true do\n  N_0xcc3fdded67bcfc63()\n  Wait(0)\n end\nend)\n```
AnimateGameplayCamZoom	```\nSeems to animate the gameplay camera zoom.  \nEg. _ANIMATE_GAMEPLAY_CAM_ZOOM(1f, 1000f);  \nwill animate the camera zooming in from 1000 meters away.  \nGame scripts use it like this:  \n// Setting this to 1 prevents V key from changing zoom  \nPLAYER::SET_PLAYER_FORCED_ZOOM(PLAYER::PLAYER_ID(), 1);  \n// These restrict how far you can move cam up/down left/right  \nCAM::_CLAMP_GAMEPLAY_CAM_YAW(-20f, 50f);  \nCAM::_CLAMP_GAMEPLAY_CAM_PITCH(-60f, 0f);  \nCAM::_ANIMATE_GAMEPLAY_CAM_ZOOM(1f, 1f);  \n```
AnimatedShakeCam	```\nExample from michael2 script.  \nCAM::ANIMATED_SHAKE_CAM(l_5069, "shake_cam_all@", "light", "", 1f);  \n```
AnimatedShakeScriptGlobal	```\nCAM::ANIMATED_SHAKE_SCRIPT_GLOBAL("SHAKE_CAM_medium", "medium", "", 0.5f);\n```
AnimpostfxGetUnk	See [`ANIMPOSTFX_PLAY`](#\\_0x2206BF9A37B7F724)
AnimpostfxIsRunning	See [`ANIMPOSTFX_PLAY`](#\\_0x2206BF9A37B7F724).\n\n**Returns** Whether the specified effect is active
AnimpostfxPlay	```\nduration - is how long to play the effect for in milliseconds. If 0, it plays the default length\nif loop is true, the effect won't stop until you call ANIMPOSTFX_STOP on it. (only loopable effects)\n```
AnimpostfxStop	See [`ANIMPOSTFX_PLAY`](#\\_0x2206BF9A37B7F724).
AnimpostfxStopAndDoUnk	Stops the effect and sets a value (bool) in its data (+0x199) to false; See [`ANIMPOSTFX_PLAY`](#\\_0x2206BF9A37B7F724).
AppSetApp	```\nCalled in the gamescripts like:  \nAPP::APP_SET_APP("car");  \nAPP::APP_SET_APP("dog");  \n```
ApplyDamageToPed	```\ndamages a ped with the given amount  \n----  \narmorFirst means it will damage/lower the armor first before damaging the player.  \nsetting damageAmount to a negative amount will cause the player or the armor (depending on armorFirst) to be healed by damageAmount instead.  \n```\n\n```\nNativeDB Added Parameter 4: Any p3\n```
ApplyForceToEntity	Applies a force to the specified entity.\n\n```cpp\nenum eForceType\n{\n    MinForce = 0,\n    MaxForceRot = 1,\n    MinForce2 = 2,\n    MaxForceRot2 = 3,\n    ForceNoRot = 4,\n    ForceRotPlusForce = 5\n}\n```\n\nResearch/documentation on the gtaforums can be found [here](https://gtaforums.com/topic/885669-precisely-define-object-physics/) and [here](https://gtaforums.com/topic/887362-apply-forces-and-momentums-to-entityobject/).\n\n**Parameters**\n- `entity`: The entity you want to apply a force on\n- `forceType`: Refer to `eForceType`\n- `x`: Force amount (X)\n- `y`: Force amount (Y)\n- `z`: Force amount (Z)\n- `offX`: Rotation/offset force (X)\n- `offY`: Rotation/offset force (Y)\n- `offZ`: Rotation/offset force (Z)\n- `boneIndex`: (Often 0) Entity bone index\n- `isDirectionRel`: (Usually false) Vector defined in local (body-fixed) coordinate frame\n- `ignoreUpVec`: (Usually true)\n- `isForceRel`: (Usually true) When true, force gets multiplied with the objects mass and different objects will have the same acceleration\n- `p12`: (Usually false)\n- `p13`: (Usually true)\n\n```lua\nlocal forceTypes = {\n    MinForce = 0,\n    MaxForceRot = 1,\n    MinForce2 = 2,\n    MaxForceRot2 = 3,\n    ForceNoRot = 4,\n    ForceRotPlusForce = 5\n}\n\nlocal entity = PlayerPedId()\nlocal forceType = forceTypes.MaxForceRot2\n -- sends the entity straight up into the sky:\nlocal direction = vector3(0.0, 0.0, 15.0)\nlocal rotation = vector3(0.0, 0.0, 0.0)\nlocal boneIndex = 0\nlocal isDirectionRel = false\nlocal ignoreUpVec = true\nlocal isForceRel = true\nlocal p12 = false\nlocal p13 = true\n\nApplyForceToEntity(\n    entity,\n    forceType,\n    direction,\n    rotation,\n    boneIndex,\n    isDirectionRel,\n    ignoreUpVec,\n    isForceRel,\n    p12,\n    p13\n)\n```
ApplyForceToEntityCenterOfMass	\n\n**Parameters**\n- `forceType`: Refer to [APPLY_FORCE_TO_ENTITY](#\\_0xC5F68BE9613E2D18)
ApplyPedBlood	```\nFound one occurence in re_crashrescue.c4  \nPED::APPLY_PED_BLOOD(l_4B, 3, 0.0, 0.0, 0.0, "wound_sheet");  \n```
ApplyPedBloodSpecific	Applies blood damage to a ped with specific parameters for zone, UV offsets, rotation, scale, and initial aging.\n\n```\nNativeDB Introduced: v323\n```\n\n**Parameters**\n- `ped`: The Ped to which blood damage is applied.\n- `component`: Specific component or body part.\n- `u`: UV texture coordinates for placing the decal in the specified zone.\n- `v`: UV texture coordinates for placing the decal in the specified zone.\n- `rotation`: Angle in degrees for the rotation of the blood decal.\n- `scale`: Scale factor for the damage, ranging from 0.0 to 1.0.\n- `forcedFrame`: Allows a specific frame of damage to be chosen (-1 for random selection).\n- `preAge`: Number of seconds to pre-age the damage for an "old wound" effect (0.0 for fresh wound).\n- `bloodName`: Name of the blood type, matching an entry in peddamage.xml.
ApplyPedDamageDecal	```\nscar\nblushing\ncs_flush_anger\ncs_flush_anger_face\nbruise\nbruise_large\nherpes\nArmorBullet\nbasic_dirt_cloth\nbasic_dirt_skin\ncs_trev1_dirt\n```\n\n**Parameters**\n- `damageZone`: Refer to `ePedDecorationZone` in [GET_PED_DECORATION_ZONE_FROM_HASHES](#\\_0x9FD452BFBE7A7A8B)
ApplyPedDamagePack	```\nDamage Packs:  \n"SCR_TrevorTreeBang"  \n"HOSPITAL_0"  \n"HOSPITAL_1"  \n"HOSPITAL_2"  \n"HOSPITAL_3"  \n"HOSPITAL_4"  \n"HOSPITAL_5"  \n"HOSPITAL_6"  \n"HOSPITAL_7"  \n"HOSPITAL_8"  \n"HOSPITAL_9"  \n"SCR_Dumpster"  \n"BigHitByVehicle"  \n"SCR_Finale_Michael_Face"  \n"SCR_Franklin_finb"  \n"SCR_Finale_Michael"  \n"SCR_Franklin_finb2"  \n"Explosion_Med"  \n"SCR_Torture"  \n"SCR_TracySplash"  \n"Skin_Melee_0"  \nAdditional damage packs:  \ngist.github.com/alexguirre/f3f47f75ddcf617f416f3c8a55ae2227  \n```
ApplyWeatherCycles	\n\n**Parameters**\n- `numEntries`: The number of cycle entries. Must be between 1 and 256\n- `msPerCycle`: The duration in milliseconds of each cycle. Must be between 1000 and 86400000 (24 hours)\n\n**Returns** Returns true if all parameters were valid, otherwise false.\n\n```lua\n-- Cycle between XMAS weather for 30 seconds (3 * 10000 milliseconds), and SMOG weather for 20 seconds (2 * 10000 milliseconds)\nlocal success = SetWeatherCycleEntry(0, "XMAS", 3) and\n                SetWeatherCycleEntry(1, "SMOG", 2) and\n                ApplyWeatherCycles(2, 10000)\n```
AreAllVehicleWindowsIntact	```\nAppears to return false if any window is broken.  \n```
AreAnyVehicleSeatsFree	```\nReturns false if every seat is occupied.  \n```
AreBombBayDoorsOpen	Returns true when the bomb bay doors of this plane are open. False if they're closed.\n\n**Parameters**\n- `aircraft`: The vehicle to check the bomb bay doors on.\n\n**Returns** A bool indicating the state of the doors (true = open, false = closed).\n\n```lua\nlocal vehicle = GetVehiclePedIsIn(PlayerPedId(), false)\n\nif AreBombBayDoorsOpen(vehicle) then\n    print("The doors are open!")\nelse\n    print("The doors are closed!")\nend\n```
AreHeliStubWingsDeployed	Only used with the "akula" in the decompiled native scripts.\n\n```\nNativeDB Introduced: v1290\n```
AreOutriggerLegsDeployed	Returns whether the outrigger legs are deployed for the vehicle.\nThe Chernobog is one of the few vehicles with outrigger legs.\n\n```\nNativeDB Introduced: v1290\n```\n\n**Returns** The deployment state of the vehicle's outrigger legs\n\n```lua\nlocal vehicle = GetVehiclePedIsIn(PlayerPedId(), false)\nlocal deployed = AreOutriggerLegsDeployed(vehicle)\nprint("deploy state:", deployed)\n```
ArePlaneControlPanelsIntact	Queries whether the control panels of a plane are intact. This native is used to determine the operational status of a plane's cockpit controls, which can affect the plane's flyability.\n\n**Parameters**\n- `vehicle`: The vehicle to check. This should be a plane.\n- `checkForZeroHealth`: If set to `true`, the native also checks if the plane's health is zero, indicating it is completely destroyed. If `false`, only the state of the control panels is considered.\n\n**Returns** Returns `true` if the plane's control panels are intact, and, depending on the `checkForZeroHealth` parameter, the plane is not completely destroyed. Returns `false` if the control panels are damaged or the plane is destroyed (when `checkForZeroHealth` is `true`).\n\n```lua\n-- Retrieve the player ped\nlocal playerPed = PlayerPedId()\n\n-- Retrieve the plane the player is currently in.\nlocal plane = GetVehiclePedIsIn(playerPed, false)\n\n-- If the player is not in a plane, return\nif (plane == 0) or (not IsThisModelAPlane(GetEntityModel(plane))) then return end\n\n-- Check if the plane's control panels are intact\nlocal controlPanelsIntact = ArePlaneControlPanelsIntact(plane, true)\n\nif (controlPanelsIntact) then\n    print("The plane's control panels are intact")\nelse\n    print("The plane's control panels are damaged or the plane is destroyed")\nend\n```
